"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;


"Der Facility Manager";11.377;10.056;88 %;1.321;9.072;8.051;1.021;2.305;2.005;300;;;;


"der Freitag";513.347;434.353;85 %;78.994;513.347;434.353;78.994;;;;;;;

"Der Patriot online";173.174;164.683;95 %;8.491;173.174;164.683;8.491;;;;;;;

"Der Teckbote online";215.278;203.189;94 %;12.089;215.278;203.189;12.089;;;;;;;

"Detail - Zeitschrift für Architektur + Baudetail";388.832;214.976;55 %;173.856;388.832;214.976;173.856;;;;;;;

"Deutsche Handwerks Zeitung";802.158;764.357;95 %;37.801;802.158;764.357;37.801;;;;;;;

"deutsche-startups.de";310.257;254.691;82 %;55.566;310.257;254.691;55.566;;;;;;;

"Deutscher Alpenverein e.V.";535.022;483.446;90 %;51.576;338.718;307.455;31.263;196.304;175.991;20.313;;;;


"Deutsches Ärzteblatt - online";2.267.384;2.020.235;89 %;247.149;1.511.495;1.338.257;173.238;755.889;681.978;73.911;;;;




"Deutsches Handwerksblatt";156.688;149.194;95 %;7.494;109.662;104.176;5.486;47.026;45.018;2.008;;;;


"DeutschesApothekenPortal";186.873;181.231;97 %;5.642;186.873;181.231;5.642;;;;;;;

"DeutschlandSpielt.de";399.865;354.768;89 %;45.097;399.865;354.768;45.097;;;;;;;

"devicemed";45.417;34.692;76 %;10.725;45.417;34.692;10.725;;;;;;;

"DEWEZET.de";657.336;627.490;95 %;29.846;657.336;627.490;29.846;;;;;;;

"Diabetes News Portal";55.673;49.870;90 %;5.803;55.673;49.870;5.803;;;;;;;

"Die Glocke";657.741;631.529;96 %;26.212;657.741;631.529;26.212;;;;;;;

"Die KÄLTE + Klimatechnik";15.461;12.799;83 %;2.662;11.840;9.571;2.269;3.621;3.228;393;;;;


"DIE RHEINPFALZ";2.525.049;2.374.484;94 %;150.565;2.525.049;2.374.484;150.565;;;;;;;

"digitalfernsehen.de";1.535.840;1.376.061;90 %;159.779;1.491.908;1.335.196;156.712;43.932;40.865;3.067;;;;



"dingit.tv";3.243.367;1.169.099;36 %;2.074.268;3.243.367;1.169.099;2.074.268;;;;;;;

"Discover Outdoor";1.549.017;1.180.408;76 %;368.609;1.549.017;1.180.408;368.609;;;;;;;

"Disney.de";3.944.211;3.342.151;85 %;602.060;685.235;581.113;104.122;3.258.976;2.761.038;497.938;;;;




"dmax";2.065.059;1.703.849;83 %;361.210;1.341.257;1.113.404;227.853;723.802;590.445;133.357;;;;


"DocCheck";12.115.938;9.597.894;79 %;2.518.044;7.360.721;5.774.683;1.586.038;4.755.217;3.823.211;932.006;;;;


"domradio.de";329.217;274.187;83 %;55.030;183.969;145.045;38.924;145.248;129.142;16.106;;;;


"donaukurier.de";1.932.177;1.834.876;95 %;97.301;603.292;558.044;45.248;1.328.885;1.276.832;52.053;;;;




"Doodle.com";11.788.137;11.714.481;99 %;73.656;5.451.572;5.386.840;64.732;6.336.565;6.327.641;8.924;;;;


"Druckerchannel.de";273.816;235.469;86 %;38.347;273.816;235.469;38.347;;;;;;;

"DStGB";16.911;16.031;95 %;880;16.911;16.031;880;;;;;;;

"Duden";25.661.010;19.139.220;75 %;6.521.790;25.661.010;19.139.220;6.521.790;;;;;;;

"Dülmener Zeitung";121.345;110.163;91 %;11.182;121.345;110.163;11.182;;;;;;;

"Dumontreise.de";2.950.927;2.649.250;90 %;301.677;2.950.927;2.649.250;301.677;;;;;;;

"DVZ.de - Deutsche Logistik-Zeitung";102.742;81.738;80 %;21.004;102.742;81.738;21.004;;;;;;;

"e-commerce-magazin.de";25.237;21.162;84 %;4.075;25.237;21.162;4.075;;;;;;;

"e-Hausaufgaben.de Schülercommunity";1.346.911;1.151.709;86 %;195.202;1.346.911;1.151.709;195.202;;;;;;;

"earthtv.com";279.463;62.839;22 %;216.624;279.463;62.839;216.624;;;;;;;

"EAT SMARTER";7.364.766;6.218.468;84 %;1.146.298;7.050.794;5.947.303;1.103.491;313.972;271.165;42.807;;;;




"eBay - Der weltweite Online-Marktplatz";160.668.588;139.460.114;87 %;21.208.474;160.668.588;139.460.114;21.208.474;;;;;;;

"ebay Kleinanzeigen";473.239.212;451.717.015;95 %;21.522.197;104.253.979;95.776.616;8.477.363;368.985.233;355.940.399;13.044.834;;;;




"echo24.de";322.889;306.119;95 %;16.770;118.459;111.873;6.586;204.430;194.246;10.184;;;;


"Echte Mamas";490.736;420.429;86 %;70.307;490.736;420.429;70.307;;;;;;;

"eGovernment Computing.de";39.349;35.013;89 %;4.336;39.349;35.013;4.336;;;;;;;

